11-14 17:25:17: Starting training... (cartpole1-2)
11-14 17:25:17: New best reward: 31.0 (-100.0%) at episode 0, saving model...
11-14 17:25:17: New best reward: 55.0 (+77.4%) at episode 10, saving model...
11-14 17:25:17: New best reward: 58.0 (+5.5%) at episode 22, saving model...
11-14 17:25:17: New best reward: 66.0 (+13.8%) at episode 40, saving model...
11-14 17:25:17: New best reward: 76.0 (+15.2%) at episode 52, saving model...
11-14 17:25:18: New best reward: 89.0 (+17.1%) at episode 891, saving model...
11-14 17:25:19: New best reward: 90.0 (+1.1%) at episode 1286, saving model...
11-14 17:25:19: New best reward: 98.0 (+8.9%) at episode 1509, saving model...
11-14 17:25:19: New best reward: 102.0 (+4.1%) at episode 1532, saving model...
11-14 17:25:20: New best reward: 123.0 (+20.6%) at episode 1751, saving model...
11-14 17:25:21: New best reward: 144.0 (+17.1%) at episode 2434, saving model...
11-14 17:25:22: New best reward: 184.0 (+27.8%) at episode 2536, saving model...
11-14 17:25:23: New best reward: 234.0 (+27.2%) at episode 2956, saving model...
11-14 17:25:25: New best reward: 351.0 (+50.0%) at episode 3593, saving model...
11-14 17:27:00: New best reward: 422.0 (+20.2%) at episode 37936, saving model...
11-14 17:27:00: New best reward: 609.0 (+44.3%) at episode 37943, saving model...
11-14 17:27:01: New best reward: 1756.0 (+188.3%) at episode 37944, saving model...
11-14 17:37:03: New best reward: 100000.0 (+5594.8%) at episode 188753, saving model...
