11-14 17:37:05: Starting training... (cartpole1-3)
11-14 17:37:05: New best reward: 24.0 (-100.0%) at episode 0, saving model...
11-14 17:37:05: New best reward: 30.0 (+25.0%) at episode 4, saving model...
11-14 17:37:05: New best reward: 33.0 (+10.0%) at episode 11, saving model...
11-14 17:37:05: New best reward: 36.0 (+9.1%) at episode 27, saving model...
11-14 17:37:05: New best reward: 63.0 (+75.0%) at episode 43, saving model...
11-14 17:37:05: New best reward: 75.0 (+19.0%) at episode 103, saving model...
11-14 17:37:06: New best reward: 87.0 (+16.0%) at episode 376, saving model...
11-14 17:37:09: New best reward: 100.0 (+14.9%) at episode 1837, saving model...
11-14 17:37:11: New best reward: 135.0 (+35.0%) at episode 2515, saving model...
11-14 17:37:15: New best reward: 168.0 (+24.4%) at episode 3275, saving model...
11-14 17:37:59: New best reward: 407.0 (+142.3%) at episode 16326, saving model...
11-14 17:38:00: New best reward: 699.0 (+71.7%) at episode 16355, saving model...
11-14 17:41:42: New best reward: 890.0 (+27.3%) at episode 76703, saving model...
11-14 17:49:12: New best reward: 1758.0 (+97.5%) at episode 191422, saving model...
11-14 17:49:48: Giving up after 200001 episodes.
