11-14 17:53:05: Starting training... (cartpole1-5)
11-14 17:53:05: New best reward: 15.0 (-100.0%) at episode 0, saving model...
11-14 17:53:05: New best reward: 17.0 (+13.3%) at episode 1, saving model...
11-14 17:53:05: New best reward: 34.0 (+100.0%) at episode 2, saving model...
11-14 17:53:05: New best reward: 36.0 (+5.9%) at episode 30, saving model...
11-14 17:53:05: New best reward: 38.0 (+5.6%) at episode 34, saving model...
11-14 17:53:05: New best reward: 49.0 (+28.9%) at episode 44, saving model...
11-14 17:53:05: New best reward: 57.0 (+16.3%) at episode 50, saving model...
11-14 17:53:05: New best reward: 61.0 (+7.0%) at episode 54, saving model...
11-14 17:53:05: New best reward: 90.0 (+47.5%) at episode 147, saving model...
11-14 17:53:49: New best reward: 100000.0 (+111011.1%) at episode 5223, saving model...
