11-14 17:49:48: Starting training... (cartpole1-4)
11-14 17:49:48: New best reward: 13.0 (-100.0%) at episode 0, saving model...
11-14 17:49:48: New best reward: 15.0 (+15.4%) at episode 1, saving model...
11-14 17:49:48: New best reward: 65.0 (+333.3%) at episode 2, saving model...
11-14 17:49:48: New best reward: 68.0 (+4.6%) at episode 69, saving model...
11-14 17:49:49: New best reward: 78.0 (+14.7%) at episode 293, saving model...
11-14 17:50:06: New best reward: 81.0 (+3.8%) at episode 4525, saving model...
11-14 17:50:08: New best reward: 109.0 (+34.6%) at episode 4832, saving model...
11-14 17:50:11: New best reward: 202.0 (+85.3%) at episode 5492, saving model...
11-14 17:50:21: New best reward: 275.0 (+36.1%) at episode 7212, saving model...
11-14 17:50:23: New best reward: 378.0 (+37.5%) at episode 7517, saving model...
11-14 17:51:24: New best reward: 1174.0 (+210.6%) at episode 22385, saving model...
11-14 17:52:46: New best reward: 1347.0 (+14.7%) at episode 45111, saving model...
11-14 17:52:47: New best reward: 6792.0 (+404.2%) at episode 45112, saving model...
11-14 17:53:03: New best reward: 100000.0 (+1372.3%) at episode 45113, saving model...
