11-22 03:48:22: Starting training... (cartpole1-13)
11-22 03:48:22: New best reward: 22.0 (-100.0%) at episode 0, saving model...
11-22 03:48:22: New best reward: 47.0 (+113.6%) at episode 2, saving model...
11-22 03:48:22: New best reward: 58.0 (+23.4%) at episode 4, saving model...
11-22 03:48:22: New best reward: 75.0 (+29.3%) at episode 38, saving model...
11-22 03:48:25: New best reward: 83.0 (+10.7%) at episode 238, saving model...
11-22 03:48:26: New best reward: 94.0 (+13.3%) at episode 280, saving model...
11-22 03:48:27: New best reward: 103.0 (+9.6%) at episode 321, saving model...
11-22 03:48:28: New best reward: 152.0 (+47.6%) at episode 388, saving model...
11-22 03:48:40: New best reward: 184.0 (+21.1%) at episode 771, saving model...
11-22 03:48:44: New best reward: 244.0 (+32.6%) at episode 862, saving model...
11-22 03:48:54: New best reward: 275.0 (+12.7%) at episode 1024, saving model...
11-22 03:49:09: New best reward: 276.0 (+0.4%) at episode 1226, saving model...
11-22 03:49:19: New best reward: 338.0 (+22.5%) at episode 1332, saving model...
11-22 03:49:26: New best reward: 392.0 (+16.0%) at episode 1383, saving model...
11-22 03:54:02: New best reward: 432.0 (+10.2%) at episode 2952, saving model...
11-22 03:54:16: New best reward: 439.0 (+1.6%) at episode 3001, saving model...
11-22 03:54:36: New best reward: 475.0 (+8.2%) at episode 3063, saving model...
11-22 03:54:37: New best reward: 581.0 (+22.3%) at episode 3064, saving model...
11-22 03:57:27: New best reward: 742.0 (+27.7%) at episode 3505, saving model...
11-22 04:01:34: New best reward: 851.0 (+14.7%) at episode 4071, saving model...
11-22 04:41:00: New best reward: 1140.0 (+34.0%) at episode 10316, saving model...
11-22 04:47:11: New best reward: 100000.0 (+8671.9%) at episode 10537, saving model...
11-22 04:47:11: Average duration: 2122707.0 timesteps, Average layer passes: 24208431.0 (cartpole1-13)
