11-22 05:10:58: Starting training... (cartpole1-15)
11-22 05:10:58: New best reward: 15.0 (-100.0%) at episode 0, saving model...
11-22 05:10:59: New best reward: 25.0 (+66.7%) at episode 1, saving model...
11-22 05:10:59: New best reward: 53.0 (+112.0%) at episode 3, saving model...
11-22 05:11:00: New best reward: 65.0 (+22.6%) at episode 100, saving model...
11-22 05:11:01: New best reward: 84.0 (+29.2%) at episode 180, saving model...
11-22 05:11:03: New best reward: 86.0 (+2.4%) at episode 265, saving model...
11-22 05:11:04: New best reward: 92.0 (+7.0%) at episode 323, saving model...
11-22 05:11:08: New best reward: 132.0 (+43.5%) at episode 515, saving model...
11-22 05:11:12: New best reward: 134.0 (+1.5%) at episode 614, saving model...
11-22 05:11:14: New best reward: 137.0 (+2.2%) at episode 691, saving model...
11-22 05:11:17: New best reward: 148.0 (+8.0%) at episode 745, saving model...
11-22 05:11:25: New best reward: 244.0 (+64.9%) at episode 920, saving model...
11-22 05:11:45: New best reward: 329.0 (+34.8%) at episode 1215, saving model...
11-22 05:12:24: New best reward: 401.0 (+21.9%) at episode 1599, saving model...
11-22 05:12:28: New best reward: 533.0 (+32.9%) at episode 1614, saving model...
11-22 05:16:20: New best reward: 585.0 (+9.8%) at episode 2663, saving model...
11-22 05:22:35: New best reward: 793.0 (+35.6%) at episode 3759, saving model...
11-22 05:29:42: New best reward: 815.0 (+2.8%) at episode 4669, saving model...
11-22 05:31:02: New best reward: 932.0 (+14.4%) at episode 4785, saving model...
11-22 05:35:11: New best reward: 100000.0 (+10629.6%) at episode 4880, saving model...
11-22 05:35:12: Average duration: 865820.0 timesteps, Average layer passes: 10082955.0 (cartpole1-15)
