11-22 04:47:11: Starting training... (cartpole1-14)
11-22 04:47:11: New best reward: 18.0 (-100.0%) at episode 0, saving model...
11-22 04:47:12: New best reward: 20.0 (+11.1%) at episode 3, saving model...
11-22 04:47:12: New best reward: 42.0 (+110.0%) at episode 5, saving model...
11-22 04:47:12: New best reward: 45.0 (+7.1%) at episode 21, saving model...
11-22 04:47:12: New best reward: 65.0 (+44.4%) at episode 36, saving model...
11-22 04:47:12: New best reward: 77.0 (+18.5%) at episode 76, saving model...
11-22 04:47:15: New best reward: 87.0 (+13.0%) at episode 210, saving model...
11-22 04:47:15: New best reward: 104.0 (+19.5%) at episode 236, saving model...
11-22 04:47:19: New best reward: 112.0 (+7.7%) at episode 412, saving model...
11-22 04:47:19: New best reward: 118.0 (+5.4%) at episode 419, saving model...
11-22 04:47:23: New best reward: 137.0 (+16.1%) at episode 556, saving model...
11-22 04:47:27: New best reward: 142.0 (+3.6%) at episode 690, saving model...
11-22 04:47:28: New best reward: 152.0 (+7.0%) at episode 710, saving model...
11-22 04:47:30: New best reward: 224.0 (+47.4%) at episode 768, saving model...
11-22 04:47:31: New best reward: 235.0 (+4.9%) at episode 778, saving model...
11-22 04:47:39: New best reward: 236.0 (+0.4%) at episode 928, saving model...
11-22 04:47:41: New best reward: 244.0 (+3.4%) at episode 950, saving model...
11-22 04:47:44: New best reward: 271.0 (+11.1%) at episode 989, saving model...
11-22 04:47:53: New best reward: 351.0 (+29.5%) at episode 1116, saving model...
11-22 04:48:12: New best reward: 362.0 (+3.1%) at episode 1301, saving model...
11-22 04:48:40: New best reward: 531.0 (+46.7%) at episode 1518, saving model...
11-22 04:50:49: New best reward: 614.0 (+15.6%) at episode 2091, saving model...
11-22 04:57:10: New best reward: 650.0 (+5.9%) at episode 3308, saving model...
11-22 04:59:32: New best reward: 735.0 (+13.1%) at episode 3640, saving model...
11-22 04:59:48: New best reward: 897.0 (+22.0%) at episode 3669, saving model...
11-22 05:04:22: New best reward: 986.0 (+9.9%) at episode 4152, saving model...
11-22 05:08:05: New best reward: 1929.0 (+95.6%) at episode 4483, saving model...
11-22 05:10:58: New best reward: 100000.0 (+5084.0%) at episode 4484, saving model...
11-22 05:10:58: Average duration: 933037.0 timesteps, Average layer passes: 9835518.0 (cartpole1-14)
