11-19 18:01:20: Starting training... (cartpole1-1000)
11-19 18:01:20: New best reward: 19.0 (-100.0%) at episode 0, saving model...
11-19 18:01:20: New best reward: 24.0 (+26.3%) at episode 3, saving model...
11-19 18:01:20: New best reward: 31.0 (+29.2%) at episode 7, saving model...
11-19 18:01:20: New best reward: 41.0 (+32.3%) at episode 10, saving model...
11-19 18:01:21: New best reward: 43.0 (+4.9%) at episode 34, saving model...
11-19 18:01:21: New best reward: 55.0 (+27.9%) at episode 47, saving model...
11-19 18:01:22: New best reward: 69.0 (+25.5%) at episode 117, saving model...
11-19 18:01:24: New best reward: 92.0 (+33.3%) at episode 258, saving model...
11-19 18:01:26: New best reward: 99.0 (+7.6%) at episode 331, saving model...
11-19 18:01:26: New best reward: 131.0 (+32.3%) at episode 351, saving model...
11-19 18:01:27: New best reward: 156.0 (+19.1%) at episode 401, saving model...
11-19 18:01:40: New best reward: 157.0 (+0.6%) at episode 827, saving model...
11-19 18:01:43: New best reward: 183.0 (+16.6%) at episode 877, saving model...
11-19 18:01:46: New best reward: 219.0 (+19.7%) at episode 946, saving model...
11-19 18:01:49: New best reward: 290.0 (+32.4%) at episode 997, saving model...
11-19 18:01:58: New best reward: 299.0 (+3.1%) at episode 1148, saving model...
11-19 18:02:12: New best reward: 310.0 (+3.7%) at episode 1318, saving model...
11-19 18:02:15: New best reward: 418.0 (+34.8%) at episode 1338, saving model...
11-19 18:02:31: New best reward: 436.0 (+4.3%) at episode 1469, saving model...
11-19 18:02:55: New best reward: 565.0 (+29.6%) at episode 1659, saving model...
11-19 18:02:58: New best reward: 604.0 (+6.9%) at episode 1676, saving model...
11-19 18:14:33: New best reward: 2338.0 (+287.1%) at episode 5163, saving model...
11-19 18:14:43: New best reward: 7697.0 (+229.2%) at episode 5164, saving model...
11-19 18:14:59: New best reward: 10021.0 (+30.2%) at episode 5166, saving model...
11-19 18:15:55: New best reward: 26205.0 (+161.5%) at episode 5186, saving model...
11-19 18:18:26: New best reward: 100000.0 (+281.6%) at episode 5190, saving model...
11-19 18:18:27: Average duration: 841395.0
