11-14 16:21:22: Starting training... (cartpole1-2)
11-14 16:21:22: New best reward: 14.0 (-100.0%) at episode 0, saving model...
11-14 16:21:22: New best reward: 28.0 (+100.0%) at episode 4, saving model...
11-14 16:21:22: New best reward: 40.0 (+42.9%) at episode 20, saving model...
11-14 16:21:22: New best reward: 43.0 (+7.5%) at episode 50, saving model...
11-14 16:21:22: New best reward: 63.0 (+46.5%) at episode 58, saving model...
11-14 16:21:22: New best reward: 86.0 (+36.5%) at episode 307, saving model...
11-14 16:21:23: New best reward: 91.0 (+5.8%) at episode 700, saving model...
11-14 16:21:23: New best reward: 109.0 (+19.8%) at episode 968, saving model...
11-14 16:21:25: New best reward: 134.0 (+22.9%) at episode 1581, saving model...
11-14 16:21:25: New best reward: 143.0 (+6.7%) at episode 1585, saving model...
11-14 16:21:27: New best reward: 190.0 (+32.9%) at episode 2766, saving model...
11-14 16:21:30: New best reward: 192.0 (+1.1%) at episode 3618, saving model...
11-14 16:22:08: New best reward: 716.0 (+272.9%) at episode 11579, saving model...
11-14 16:22:10: New best reward: 1647.0 (+130.0%) at episode 12239, saving model...
11-14 16:33:26: Giving up after 200001 episodes.
