11-14 16:41:12: Starting training... (cartpole1-16)
11-14 16:41:12: New best reward: 20.0 (-100.0%) at episode 0, saving model...
11-14 16:41:12: New best reward: 26.0 (+30.0%) at episode 2, saving model...
11-14 16:41:12: New best reward: 48.0 (+84.6%) at episode 3, saving model...
11-14 16:41:12: New best reward: 55.0 (+14.6%) at episode 8, saving model...
11-14 16:41:12: New best reward: 75.0 (+36.4%) at episode 15, saving model...
11-14 16:41:13: New best reward: 79.0 (+5.3%) at episode 136, saving model...
11-14 16:41:41: New best reward: 89.0 (+12.7%) at episode 4860, saving model...
11-14 16:42:24: New best reward: 96.0 (+7.9%) at episode 7471, saving model...
11-14 16:42:28: New best reward: 97.0 (+1.0%) at episode 7826, saving model...
11-14 16:42:30: New best reward: 106.0 (+9.3%) at episode 8094, saving model...
11-14 16:42:30: New best reward: 134.0 (+26.4%) at episode 8108, saving model...
11-14 16:42:30: New best reward: 150.0 (+11.9%) at episode 8114, saving model...
11-14 16:42:33: New best reward: 155.0 (+3.3%) at episode 8534, saving model...
11-14 16:42:36: New best reward: 302.0 (+94.8%) at episode 8936, saving model...
11-14 16:42:45: New best reward: 434.0 (+43.7%) at episode 10253, saving model...
11-14 16:42:55: New best reward: 816.0 (+88.0%) at episode 11167, saving model...
11-14 16:43:03: New best reward: 973.0 (+19.2%) at episode 11645, saving model...
11-14 17:04:02: Giving up after 200001 episodes.
