11-14 16:35:02: Starting training... (cartpole1-8)
11-14 16:35:02: New best reward: 15.0 (-100.0%) at episode 0, saving model...
11-14 16:35:02: New best reward: 20.0 (+33.3%) at episode 1, saving model...
11-14 16:35:02: New best reward: 25.0 (+25.0%) at episode 5, saving model...
11-14 16:35:02: New best reward: 51.0 (+104.0%) at episode 9, saving model...
11-14 16:35:02: New best reward: 70.0 (+37.3%) at episode 38, saving model...
11-14 16:35:02: New best reward: 83.0 (+18.6%) at episode 121, saving model...
11-14 16:35:24: New best reward: 103.0 (+24.1%) at episode 5447, saving model...
11-14 16:35:24: New best reward: 117.0 (+13.6%) at episode 5461, saving model...
11-14 16:35:25: New best reward: 181.0 (+54.7%) at episode 5642, saving model...
11-14 16:35:25: New best reward: 186.0 (+2.8%) at episode 5720, saving model...
11-14 16:35:29: New best reward: 243.0 (+30.6%) at episode 6069, saving model...
11-14 16:35:33: New best reward: 261.0 (+7.4%) at episode 6496, saving model...
11-14 16:35:33: New best reward: 454.0 (+73.9%) at episode 6511, saving model...
11-14 16:36:26: New best reward: 637.0 (+40.3%) at episode 16141, saving model...
11-14 16:40:47: New best reward: 849.0 (+33.3%) at episode 69440, saving model...
11-14 16:40:52: New best reward: 10781.0 (+1169.8%) at episode 70151, saving model...
11-14 16:41:11: New best reward: 100000.0 (+827.6%) at episode 70152, saving model...
