11-22 05:35:12: Starting training... (cartpole1-16)
11-22 05:35:12: New best reward: 17.0 (-100.0%) at episode 0, saving model...
11-22 05:35:12: New best reward: 46.0 (+170.6%) at episode 2, saving model...
11-22 05:35:12: New best reward: 47.0 (+2.2%) at episode 45, saving model...
11-22 05:35:13: New best reward: 55.0 (+17.0%) at episode 59, saving model...
11-22 05:35:13: New best reward: 57.0 (+3.6%) at episode 61, saving model...
11-22 05:35:13: New best reward: 66.0 (+15.8%) at episode 62, saving model...
11-22 05:35:14: New best reward: 74.0 (+12.1%) at episode 133, saving model...
11-22 05:35:14: New best reward: 77.0 (+4.1%) at episode 135, saving model...
11-22 05:35:14: New best reward: 90.0 (+16.9%) at episode 147, saving model...
11-22 05:35:15: New best reward: 131.0 (+45.6%) at episode 211, saving model...
11-22 05:35:20: New best reward: 132.0 (+0.8%) at episode 410, saving model...
11-22 05:35:30: New best reward: 141.0 (+6.8%) at episode 721, saving model...
11-22 05:35:33: New best reward: 161.0 (+14.2%) at episode 787, saving model...
11-22 05:35:40: New best reward: 173.0 (+7.5%) at episode 939, saving model...
11-22 05:35:41: New best reward: 219.0 (+26.6%) at episode 940, saving model...
11-22 05:35:48: New best reward: 224.0 (+2.3%) at episode 1022, saving model...
11-22 05:35:52: New best reward: 237.0 (+5.8%) at episode 1062, saving model...
11-22 05:35:55: New best reward: 245.0 (+3.4%) at episode 1098, saving model...
11-22 05:35:58: New best reward: 340.0 (+38.8%) at episode 1129, saving model...
11-22 05:36:00: New best reward: 363.0 (+6.8%) at episode 1154, saving model...
11-22 05:36:13: New best reward: 449.0 (+23.7%) at episode 1258, saving model...
11-22 05:36:14: New best reward: 457.0 (+1.8%) at episode 1260, saving model...
11-22 05:36:51: New best reward: 581.0 (+27.1%) at episode 1535, saving model...
11-22 05:36:55: New best reward: 742.0 (+27.7%) at episode 1546, saving model...
11-22 05:37:39: New best reward: 1012.0 (+36.4%) at episode 1728, saving model...
11-22 05:41:57: New best reward: 1023.0 (+1.1%) at episode 2707, saving model...
11-22 05:42:45: New best reward: 1179.0 (+15.2%) at episode 2832, saving model...
11-22 05:42:55: New best reward: 2664.0 (+126.0%) at episode 2848, saving model...
11-22 05:43:44: New best reward: 19644.0 (+637.4%) at episode 2887, saving model...
11-22 05:44:34: New best reward: 20069.0 (+2.2%) at episode 2900, saving model...
11-22 05:48:33: New best reward: 31300.0 (+56.0%) at episode 2929, saving model...
11-22 05:55:38: New best reward: 44606.0 (+42.5%) at episode 3376, saving model...
11-22 05:58:28: New best reward: 60804.0 (+36.3%) at episode 3431, saving model...
11-22 06:06:19: New best reward: 61888.0 (+1.8%) at episode 3476, saving model...
11-22 06:09:19: New best reward: 87864.0 (+42.0%) at episode 3478, saving model...
11-22 06:12:19: New best reward: 100000.0 (+13.8%) at episode 3479, saving model...
11-22 06:12:19: Average duration: 1327135.0 timesteps, Average layer passes: 15899856.0 (cartpole1-16)
