11-19 17:37:56: Starting training... (cartpole1-10)
11-19 17:37:56: New best reward: 13.0 (-100.0%) at episode 0, saving model...
11-19 17:37:56: New best reward: 19.0 (+46.2%) at episode 1, saving model...
11-19 17:37:56: New best reward: 21.0 (+10.5%) at episode 3, saving model...
11-19 17:37:56: New best reward: 23.0 (+9.5%) at episode 7, saving model...
11-19 17:37:56: New best reward: 24.0 (+4.3%) at episode 8, saving model...
11-19 17:37:57: New best reward: 40.0 (+66.7%) at episode 11, saving model...
11-19 17:37:57: New best reward: 49.0 (+22.5%) at episode 14, saving model...
11-19 17:37:57: New best reward: 64.0 (+30.6%) at episode 16, saving model...
11-19 17:37:57: New best reward: 81.0 (+26.6%) at episode 97, saving model...
11-19 17:37:59: New best reward: 83.0 (+2.5%) at episode 302, saving model...
11-19 17:37:59: New best reward: 94.0 (+13.3%) at episode 392, saving model...
11-19 17:37:59: New best reward: 99.0 (+5.3%) at episode 405, saving model...
11-19 17:38:00: New best reward: 126.0 (+27.3%) at episode 483, saving model...
11-19 17:38:00: New best reward: 134.0 (+6.3%) at episode 486, saving model...
11-19 17:38:00: New best reward: 185.0 (+38.1%) at episode 524, saving model...
11-19 17:38:04: New best reward: 207.0 (+11.9%) at episode 782, saving model...
11-19 17:38:07: New best reward: 220.0 (+6.3%) at episode 913, saving model...
11-19 17:38:07: New best reward: 221.0 (+0.5%) at episode 918, saving model...
11-19 17:38:08: New best reward: 224.0 (+1.4%) at episode 961, saving model...
11-19 17:38:09: New best reward: 231.0 (+3.1%) at episode 983, saving model...
11-19 17:38:09: New best reward: 248.0 (+7.4%) at episode 1012, saving model...
11-19 17:38:10: New best reward: 391.0 (+57.7%) at episode 1025, saving model...
11-19 17:38:26: New best reward: 537.0 (+37.3%) at episode 1484, saving model...
11-19 17:39:46: New best reward: 565.0 (+5.2%) at episode 2619, saving model...
11-19 17:40:08: New best reward: 851.0 (+50.6%) at episode 2869, saving model...
11-19 17:40:32: New best reward: 1446.0 (+69.9%) at episode 3114, saving model...
11-19 17:40:35: New best reward: 1450.0 (+0.3%) at episode 3122, saving model...
11-19 17:40:40: New best reward: 2739.0 (+88.9%) at episode 3136, saving model...
11-19 17:40:56: New best reward: 13793.0 (+403.6%) at episode 3207, saving model...
11-19 17:41:04: New best reward: 16885.0 (+22.4%) at episode 3208, saving model...
11-19 17:42:17: New best reward: 18929.0 (+12.1%) at episode 3253, saving model...
11-19 17:49:09: New best reward: 100000.0 (+428.3%) at episode 4077, saving model...
11-19 17:49:10: Average duration: 1485460.0
