11-13 15:52:54: Starting training... (cartpole1-10)
11-13 15:52:54: New best reward: 24.0 (-100.0%) at episode 0, saving model...
11-13 15:52:54: New best reward: 28.0 (+16.7%) at episode 1, saving model...
11-13 15:52:54: New best reward: 67.0 (+139.3%) at episode 2, saving model...
11-13 15:52:54: New best reward: 69.0 (+3.0%) at episode 152, saving model...
11-13 15:52:55: New best reward: 97.0 (+40.6%) at episode 246, saving model...
11-13 15:55:13: New best reward: 106.0 (+9.3%) at episode 17935, saving model...
11-13 15:55:15: New best reward: 113.0 (+6.6%) at episode 18075, saving model...
11-13 15:55:16: New best reward: 130.0 (+15.0%) at episode 18193, saving model...
11-13 15:55:17: New best reward: 153.0 (+17.7%) at episode 18309, saving model...
11-13 15:56:09: New best reward: 169.0 (+10.5%) at episode 24326, saving model...
11-13 15:56:09: New best reward: 386.0 (+128.4%) at episode 24327, saving model...
11-13 15:59:08: New best reward: 440.0 (+14.0%) at episode 37488, saving model...
11-13 15:59:20: New best reward: 947.0 (+115.2%) at episode 38479, saving model...
11-13 15:59:23: New best reward: 1536.0 (+62.2%) at episode 38572, saving model...
11-13 16:00:01: New best reward: 6483.0 (+322.1%) at episode 41966, saving model...
11-13 16:31:42: New best reward: 14856.0 (+129.2%) at episode 192042, saving model...
11-13 16:33:23: Giving up after 200001 episodes.
