11-17 15:20:05: Starting training... (cartpole1-1000)
11-17 15:20:08: New best reward: 16.0 (-100.0%) at episode 0, saving model...
11-17 15:20:08: New best reward: 55.0 (+243.8%) at episode 1, saving model...
11-17 15:20:14: New best reward: 78.0 (+41.8%) at episode 8, saving model...
11-17 15:25:15: New best reward: 84.0 (+7.7%) at episode 342, saving model...
11-17 15:26:01: New best reward: 132.0 (+57.1%) at episode 380, saving model...
11-17 16:42:05: New best reward: 148.0 (+12.1%) at episode 2401, saving model...
11-17 16:45:21: New best reward: 217.0 (+46.6%) at episode 2461, saving model...
11-17 17:11:08: New best reward: 285.0 (+31.3%) at episode 3014, saving model...
11-17 17:24:55: New best reward: 308.0 (+8.1%) at episode 3212, saving model...
11-17 18:41:33: New best reward: 473.0 (+53.6%) at episode 5352, saving model...
11-17 20:10:00: New best reward: 1118.0 (+136.4%) at episode 7562, saving model...
