11-24 05:28:36: New best reward: 500.0 (+10.1%) at episode 1449, saving model...
11-24 05:34:55: Seed: 71267
11-24 05:34:55: Starting training with 1 layer(s)... (cartpole1-linear16)
11-24 05:34:55: New best reward: 18.0 (-1900.0%) at episode 0, saving model...
11-24 05:34:55: New best reward: 23.0 (+27.8%) at episode 3, saving model...
11-24 05:34:55: New best reward: 50.0 (+117.4%) at episode 7, saving model...
11-24 05:34:55: New best reward: 61.0 (+22.0%) at episode 17, saving model...
11-24 05:34:55: New best reward: 89.0 (+45.9%) at episode 32, saving model...
11-24 05:34:57: New best reward: 101.0 (+13.5%) at episode 285, saving model...
11-24 05:34:57: New best reward: 143.0 (+41.6%) at episode 306, saving model...
11-24 05:35:00: New best reward: 239.0 (+67.1%) at episode 622, saving model...
11-24 05:35:08: New best reward: 374.0 (+56.5%) at episode 1045, saving model...
11-24 05:35:13: New best reward: 398.0 (+6.4%) at episode 1206, saving model...
11-24 05:35:15: New best reward: 425.0 (+6.8%) at episode 1264, saving model...
11-24 05:35:19: New best reward: 493.0 (+16.0%) at episode 1364, saving model...
11-24 05:35:22: New best reward: 500.0 (+1.4%) at episode 1411, saving model...
11-24 05:39:01: Average duration: 989334.0 timesteps, Average layer passes: 749795.4 (cartpole1-linear16)
11-24 05:39:01: Seed: 99492
11-24 05:39:01: Starting training with 2 layer(s)... (cartpole1-linear16)
11-24 05:39:01: New best reward: 39.0 (-4000.0%) at episode 0, saving model...
11-24 05:39:01: New best reward: 45.0 (+15.4%) at episode 8, saving model...
11-24 05:39:01: New best reward: 66.0 (+46.7%) at episode 18, saving model...
11-24 05:39:01: New best reward: 71.0 (+7.6%) at episode 48, saving model...
11-24 05:39:02: New best reward: 76.0 (+7.0%) at episode 123, saving model...
11-24 05:39:02: New best reward: 80.0 (+5.3%) at episode 142, saving model...
11-24 05:39:03: New best reward: 124.0 (+55.0%) at episode 229, saving model...
11-24 05:39:06: New best reward: 182.0 (+46.8%) at episode 527, saving model...
11-24 05:39:11: New best reward: 183.0 (+0.5%) at episode 853, saving model...
11-24 05:39:13: New best reward: 197.0 (+7.7%) at episode 912, saving model...
11-24 05:39:15: New best reward: 230.0 (+16.8%) at episode 1041, saving model...
11-24 05:39:16: New best reward: 260.0 (+13.0%) at episode 1043, saving model...
11-24 05:39:16: New best reward: 321.0 (+23.5%) at episode 1055, saving model...
11-24 05:39:17: New best reward: 432.0 (+34.6%) at episode 1075, saving model...
11-24 05:39:28: New best reward: 482.0 (+11.6%) at episode 1375, saving model...
11-24 05:39:33: New best reward: 494.0 (+2.5%) at episode 1465, saving model...
11-24 05:39:35: New best reward: 500.0 (+1.2%) at episode 1482, saving model...
11-24 05:43:01: Seed: 7646
11-24 05:43:01: Starting training with 2 layer(s)... (cartpole1-linear16)
11-24 05:43:01: New best reward: 22.0 (-2300.0%) at episode 0, saving model...
11-24 05:43:01: New best reward: 29.0 (+31.8%) at episode 1, saving model...
11-24 05:43:01: New best reward: 66.0 (+127.6%) at episode 2, saving model...
11-24 05:43:02: New best reward: 114.0 (+72.7%) at episode 65, saving model...
11-24 05:43:05: New best reward: 118.0 (+3.5%) at episode 510, saving model...
11-24 05:43:06: New best reward: 122.0 (+3.4%) at episode 530, saving model...
11-24 05:43:06: New best reward: 132.0 (+8.2%) at episode 601, saving model...
11-24 05:43:07: New best reward: 161.0 (+22.0%) at episode 635, saving model...
11-24 05:43:09: New best reward: 191.0 (+18.6%) at episode 759, saving model...
11-24 05:43:13: New best reward: 199.0 (+4.2%) at episode 944, saving model...
11-24 05:43:14: New best reward: 228.0 (+14.6%) at episode 1002, saving model...
